,Donald Trump,Kamala Harris,Beto O'Rourke,Bernie Sanders,Joe Biden
2019-03-18 02:00:05.269917,2.55,6.0,8.0,7.0,7.5
2019-03-18 03:00:05.769317,2.55,6.0,8.0,7.0,7.5
2019-03-18 04:00:05.447113,2.55,6.0,8.0,7.0,7.5
2019-03-18 05:00:05.693807,2.55,6.0,8.0,7.0,7.5
2019-03-18 06:00:05.352836,2.55,6.0,8.0,7.0,7.5
2019-03-18 07:00:05.912575,2.55,6.0,8.0,7.0,7.5
2019-03-18 08:00:05.189637,2.55,6.0,8.0,7.0,7.5
2019-03-18 09:00:05.740818,2.55,6.0,8.0,7.0,7.5
2019-03-18 10:00:05.134760,2.55,6.0,8.0,7.0,7.5
2019-03-18 11:00:05.693788,2.55,6.0,8.0,7.0,7.5
2019-03-18 12:00:05.284501,2.55,6.0,8.0,7.0,7.5
2019-03-18 13:00:05.843636,2.55,6.0,8.0,7.0,7.5
2019-03-18 14:00:05.253324,2.55,6.0,8.0,7.0,7.5
2019-03-18 15:00:05.913664,2.55,6.0,8.0,7.0,7.5
2019-03-18 16:00:05.239761,2.55,6.0,8.0,7.0,7.5
2019-03-18 17:00:05.670846,2.55,6.0,8.0,7.0,7.5
2019-03-18 18:00:05.081662,2.55,6.0,8.0,7.0,7.5
2019-03-18 19:00:05.237206,2.55,6.0,8.0,7.0,7.5
2019-03-18 20:00:06.650915,2.55,6.0,8.0,7.0,7.5
2019-03-18 21:00:05.184093,2.55,6.0,8.0,7.0,7.5
2019-03-18 22:00:05.637907,2.55,6.0,8.0,7.0,7.5
2019-03-18 23:00:05.682148,2.55,6.0,8.0,7.0,7.5
2019-03-19 00:00:05.099456,2.55,6.0,8.0,7.0,7.5
2019-03-19 01:00:05.374942,2.55,8.0,8.0,8.0,8.0
2019-03-19 02:00:06.804026,2.55,8.0,8.0,8.0,8.0
2019-03-19 03:00:05.307084,2.55,8.0,8.0,8.0,8.0
2019-03-19 04:00:05.701141,2.55,8.0,8.0,8.0,8.0
2019-03-19 05:00:05.171346,2.55,8.0,8.0,8.0,8.0
2019-03-19 08:00:05.073078,2.55,8.0,8.0,8.0,8.0
2019-03-19 09:00:05.556290,2.55,8.0,8.0,8.0,8.0
2019-03-19 10:00:06.542518,2.55,8.0,8.0,8.0,8.0
2019-03-19 11:00:05.852528,2.55,8.0,8.0,8.0,8.0
2019-03-19 12:00:05.201055,2.55,8.0,8.0,8.0,8.0
2019-03-19 13:00:06.304092,2.55,8.0,8.0,8.0,8.0
2019-03-19 14:00:05.799643,2.55,8.0,8.0,8.0,8.0
2019-03-19 15:00:05.203962,2.55,8.0,8.0,8.0,8.0
2019-03-19 16:00:05.710605,2.55,8.0,8.0,8.0,8.0
